2014-12-23 19:46:20: Area Code: CB - Cambridgeshire & Peterborough
2014-12-23 19:46:20:  
2014-12-23 19:46:20: Lastread: 0000-00-00
 
Walk types
 
    Start Exact                                  : 114
 
2014-12-23 19:46:20: Walkid, Type, Description
2014-12-23 19:46:20: 3779616, Start, ''
2014-12-23 19:46:20: 3779660, Start, ''
2014-12-23 19:46:20: 3779509, Start, ''
2014-12-23 19:46:20: 3779694, Start, ''
2014-12-23 19:46:20: 3779617, Start, ''
2014-12-23 19:46:20: 3779618, Start, ''
2014-12-23 19:46:20: 3779510, Start, ''
2014-12-23 19:46:20: 3779619, Start, ''
2014-12-23 19:46:20: 3779661, Start, ''
2014-12-23 19:46:20: 3779543, Start, ''
2014-12-23 19:46:20: 3779695, Start, ''
2014-12-23 19:46:20: 3779696, Start, ''
2014-12-23 19:46:20: 3779698, Start, ''
2014-12-23 19:46:20: 3779511, Start, ''
2014-12-23 19:46:20: 3779620, Start, ''
2014-12-23 19:46:20: 3779662, Start, ''
2014-12-23 19:46:20: 3779697, Start, ''
2014-12-23 19:46:20: 3779699, Start, ''
2014-12-23 19:46:20: 3779743, Start, ''
2014-12-23 19:46:20: 3779621, Start, ''
2014-12-23 19:46:20: 3779700, Start, ''
2014-12-23 19:46:20: 3779622, Start, ''
2014-12-23 19:46:20: 3779663, Start, ''
2014-12-23 19:46:20: 3779701, Start, ''
2014-12-23 19:46:20: 3779544, Start, ''
2014-12-23 19:46:20: 3779702, Start, ''
2014-12-23 19:46:20: 3779623, Start, ''
2014-12-23 19:46:20: 3779664, Start, ''
2014-12-23 19:46:20: 3779624, Start, ''
2014-12-23 19:46:20: 3779703, Start, ''
2014-12-23 19:46:20: 3779704, Start, ''
2014-12-23 19:46:20: 3779625, Start, ''
2014-12-23 19:46:20: 3779705, Start, ''
2014-12-23 19:46:20: 3779626, Start, ''
2014-12-23 19:46:20: 3779665, Start, ''
2014-12-23 19:46:20: 3779545, Start, ''
2014-12-23 19:46:20: 3779627, Start, ''
2014-12-23 19:46:20: 3779706, Start, ''
2014-12-23 19:46:20: 3779512, Start, ''
2014-12-23 19:46:20: 3779628, Start, ''
2014-12-23 19:46:20: 3779666, Start, ''
2014-12-23 19:46:20: 3779546, Start, ''
2014-12-23 19:46:20: 3779707, Start, ''
2014-12-23 19:46:20: 3779744, Start, ''
2014-12-23 19:46:20: 3779629, Start, ''
2014-12-23 19:46:20: 3779667, Start, ''
2014-12-23 19:46:20: 3779708, Start, ''
2014-12-23 19:46:20: 3779709, Start, ''
