2014-12-23 19:38:24: Area Code: CY - Clydesdale to Solway
2014-12-23 19:38:24:  
2014-12-23 19:38:24: Lastread: 0000-00-00
 
Walk types
 
    Meeting Exact  Start Exact                   : 19
 
2014-12-23 19:38:24: Walkid, Type, Description
2014-12-23 19:38:24: 3786302, Meet , 'Annandale Arms HotelHigh StMoffat'
2014-12-23 19:38:24: 3786302, Start, 'Annandale Arms HotelHigh StMoffat'
2014-12-23 19:38:24: 3782020, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782020, Start, ''
2014-12-23 19:38:24: 3782021, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782021, Start, ''
2014-12-23 19:38:24: 3786537, Meet , 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3786537, Start, 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3782022, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782022, Start, ''
2014-12-23 19:38:24: 3782023, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782023, Start, ''
2014-12-23 19:38:24: 3786686, Meet , 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3786686, Start, 'Parks Farm access road'
2014-12-23 19:38:24: 3782024, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782024, Start, ''
2014-12-23 19:38:24: 3782025, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782025, Start, ''
2014-12-23 19:38:24: 3782026, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782026, Start, ''
2014-12-23 19:38:24: 3786690, Meet , 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3786690, Start, 'Riverside car park'
2014-12-23 19:38:24: 3782027, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782027, Start, ''
2014-12-23 19:38:24: 3782028, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782028, Start, ''
2014-12-23 19:38:24: 3782029, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782029, Start, ''
2014-12-23 19:38:24: 3786696, Meet , 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3786696, Start, 'Intersection of B797 and S.U.W.'
2014-12-23 19:38:24: 3782030, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782030, Start, ''
2014-12-23 19:38:24: 3782031, Meet , 'Brooms Road car park for car sharing'
2014-12-23 19:38:24: 3782031, Start, ''
2014-12-23 19:38:24: 3786725, Meet , 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3786725, Start, 'Annan Water Hall'
2014-12-23 19:38:24: 3786726, Meet , 'Annandale Arms Hotel'
2014-12-23 19:38:24: 3786726, Start, 'Tundergarth Church'
2014-12-23 19:38:24: End of processing
