2014-12-31 20:26:47: Area Code: SO - Somerset
2014-12-31 20:26:47:  
2014-12-31 20:26:47: Lastread: 2014-12-23
 
Walk types
 
    Start Exact                                  : 104
 
2014-12-31 20:26:47: Walkid, Type, Description
2014-12-31 20:26:47: 3792876, Start, ''
2014-12-31 20:26:47: 3792877, Start, ''
2014-12-31 20:26:47: 3792878, Start, ''
2014-12-31 20:26:47: 3792879, Start, ''
2014-12-31 20:26:47: 3792880, Start, ''
2014-12-31 20:26:47: 3792881, Start, ''
2014-12-31 20:26:47: 3792882, Start, ''
2014-12-31 20:26:47: 3792883, Start, ''
2014-12-31 20:26:47: 3792884, Start, ''
2014-12-31 20:26:47: 3792885, Start, ''
2014-12-31 20:26:47: 3792886, Start, ''
2014-12-31 20:26:47: 3792887, Start, ''
2014-12-31 20:26:47: 3792888, Start, ''
2014-12-31 20:26:47: 3792889, Start, ''
2014-12-31 20:26:47: 3792890, Start, ''
2014-12-31 20:26:47: End of processing
