2014-12-31 20:25:54: Area Code: SR - Surrey
2014-12-31 20:25:54:  
2014-12-31 20:25:54: Lastread: 2014-12-23
 
Walk types
 
    Start Exact                                  : 379
    Start Non-Exact                              : 3
    Start Exact  End Exact                       : 12
    Meeting Exact  Start Non-Exact               : 6
 
2014-12-31 20:25:54: Walkid, Type, Description
2014-12-31 20:25:54: 3792825, Start, ''
2014-12-31 20:25:54: 3792957, Start, 'Dorking Main Station'
2014-12-31 20:25:54: 3779092, Start, 'Start at Norbiton Railway Station'
2014-12-31 20:25:54: 3792826, Start, ''
2014-12-31 20:25:54: 3791592, Start, 'Addington Village Interchange'
2014-12-31 20:25:54: 3792827, Start, ''
2014-12-31 20:25:54: 3791594, Start, 'Bus stop outside Sainsburys Chelsham'
2014-12-31 20:25:54: 3791595, Start, 'Car Park, Bocketts Farm, lower car park'
2014-12-31 20:25:54: 3791613, Start, 'Tattenham Corner Station'
2014-12-31 20:25:54: 3792828, Start, ''
2014-12-31 20:25:54: 3791614, Start, 'Hurst Green Station'
2014-12-31 20:25:54: 3791616, Start, 'Banstead Woods Car Park'
2014-12-31 20:25:54: 3792829, Start, ''
2014-12-31 20:25:54: 3791615, Start, 'Banstead Woods Car Park'
2014-12-31 20:25:54: 3792830, Start, ''
2014-12-31 20:25:54: 3791617, Start, 'Elmers End Station'
2014-12-31 20:25:54: 3792831, Start, ''
2014-12-31 20:25:54: 3791618, Start, 'Victoria Station by WH Smiths'
2014-12-31 20:25:54: 3791620, Start, 'Kingston Gate Car Park'
2014-12-31 20:25:54: 3791619, Start, 'Banstead Woods Car Park'
2014-12-31 20:25:54: 3791621, Start, 'East Croydon'
2014-12-31 20:25:54: 3792832, Start, ''
2014-12-31 20:25:54: 3791622, Start, 'Headley Heath Car Park (NT) opposite cricket field'
2014-12-31 20:25:54: 3792833, Start, ''
2014-12-31 20:25:54: 3791623, Start, 'Riddlesdown Common Car Park'
2014-12-31 20:25:54: 3791624, Start, 'Banstead Woods Car Park'
2014-12-31 20:25:54: 3791625, Start, 'Caterham Station'
2014-12-31 20:25:54: 3791626, Start, 'West Croydon Station'
2014-12-31 20:25:54: 3792834, Start, ''
2014-12-31 20:25:54: 3791627, Start, 'Hurtwood Car Park, Farley Heath Road, 5 miles SW of Farley Green.'
2014-12-31 20:25:54: 3791628, Start, 'Caterham Station'
2014-12-31 20:25:54: 3791630, Start, 'Lloyd Park Tram Stop'
2014-12-31 20:25:54: 3792835, Start, ''
2014-12-31 20:25:54: 3791632, Start, 'Purley Station back entrance from platform 6'
2014-12-31 20:25:54: 3791631, Start, 'Balcombe Station'
2014-12-31 20:25:54: 3791633, Start, 'Car Park on Westerham Road'
2014-12-31 20:25:54: 3792836, Start, ''
2014-12-31 20:25:54: 3791634, Start, 'Botley Hill Car Park, Titsey'
2014-12-31 20:25:54: 3791635, Start, 'Tattenham Corner Station'
2014-12-31 20:25:54: 3792837, Start, ''
2014-12-31 20:25:54: 3791636, Start, 'Greenwich Rail and DLR station'
2014-12-31 20:25:54: 3791637, Start, 'Car park approximately 0.5 miles south of Shermanbury on A281. Just past Bull Inn on right.'
2014-12-31 20:25:54: 3792838, Start, ''
2014-12-31 20:25:54: 3791638, Start, 'Car Park at junction of Tattenham Corner Road and Old London Road'
2014-12-31 20:25:54: 3791639, Start, 'London Bridge Station by escalator near platforms 9 and 10'
2014-12-31 20:25:54: 3792839, Start, ''
2014-12-31 20:25:54: 3791641, Start, '405 Bus Stop at Star Lane, Hooley'
2014-12-31 20:25:54: 3786538, Start, ')       Bagshot Pavillion & playing fields car park .   From Camberley on the A30 towards Bagshot on entering Bagshot go pass demolished garden centre on right, next set of traffic lights turn  left into Yaverland Drive procede up the hill to T junction turn left car park ( concealed entrance) is approx 500 yds on left.                                                                              '
2014-12-31 20:25:54: 3792840, Start, ''
2014-12-31 20:25:54: 3792841, Start, ''
2014-12-31 20:25:54: 3792842, Start, ''
2014-12-31 20:25:54: 3792843, Start, ''
2014-12-31 20:25:54: 3792844, Start, ''
2014-12-31 20:25:54: 3792845, Start, ''
2014-12-31 20:25:54: 3792846, Start, ''
2014-12-31 20:25:54: 3792847, Start, ''
2014-12-31 20:25:54: 3792848, Start, ''
2014-12-31 20:25:54: 3792849, Start, ''
2014-12-31 20:25:54: 3792850, Start, ''
2014-12-31 20:25:54: 3792851, Start, ''
2014-12-31 20:25:54: 3792852, Start, ''
2014-12-31 20:25:54: 3792853, Start, ''
2014-12-31 20:25:54: 3792854, Start, ''
2014-12-31 20:25:54: 3792855, Start, ''
2014-12-31 20:25:54: 3792856, Start, ''
2014-12-31 20:25:54: 3792857, Start, ''
2014-12-31 20:25:54: 3792858, Start, ''
2014-12-31 20:25:54: 3792859, Start, ''
2014-12-31 20:25:54: 3792860, Start, ''
2014-12-31 20:25:54: 3792861, Start, ''
2014-12-31 20:25:54: 3792862, Start, ''
2014-12-31 20:25:54: 3792863, Start, ''
2014-12-31 20:25:54: 3792864, Start, ''
2014-12-31 20:25:54: 3792865, Start, ''
2014-12-31 20:25:54: 3792866, Start, ''
2014-12-31 20:25:54: 3792867, Start, ''
2014-12-31 20:25:54: End of processing
