2014-12-31 20:25:16: Area Code: WE - Wiltshire & Swindon
2014-12-31 20:25:16:  
2014-12-31 20:25:16: Lastread: 2014-12-23
 
Walk types
 
    Start Exact                                  : 112
    Meeting Exact  Start Exact                   : 34
    Start Exact  End Exact                       : 1
    Meeting Exact  Start Exact  End Exact        : 1
 
2014-12-31 20:25:16: Walkid, Type, Description
2014-12-31 20:25:16: 3791452, Start, ''
2014-12-31 20:25:16: 3791679, Start, ''
2014-12-31 20:25:16: 3790046, Start, ''
2014-12-31 20:25:16: 3791470, Start, ''
2014-12-31 20:25:16: 3791458, Start, ''
2014-12-31 20:25:16: 3792061, Start, ''
2014-12-31 20:25:16: 3791675, Start, ''
2014-12-31 20:25:16: 3791533, Start, ''
2014-12-31 20:25:16: 3791460, Start, ''
2014-12-31 20:25:16: 3791991, Start, ''
2014-12-31 20:25:16: 3791462, Start, ''
2014-12-31 20:25:16: 3791580, Start, ''
2014-12-31 20:25:16: 3791593, Start, ''
2014-12-31 20:25:16: 3791676, Start, ''
2014-12-31 20:25:16: 3791596, Start, ''
2014-12-31 20:25:16: 3792057, Start, ''
2014-12-31 20:25:16: 3790043, Start, ''
2014-12-31 20:25:16: 3792058, Start, ''
2014-12-31 20:25:16: 3790047, Start, ''
2014-12-31 20:25:16: 3791531, Start, ''
2014-12-31 20:25:16: 3791586, Start, ''
2014-12-31 20:25:16: 3791588, Start, ''
2014-12-31 20:25:16: 3791589, Start, ''
2014-12-31 20:25:16: 3791590, Start, ''
2014-12-31 20:25:16: 3791441, Start, ''
2014-12-31 20:25:16: 3791995, Start, ''
2014-12-31 20:25:16: 3790042, Start, ''
2014-12-31 20:25:16: 3791469, Start, ''
2014-12-31 20:25:16: 3793165, Start, ''
2014-12-31 20:25:16: 3790045, Start, ''
2014-12-31 20:25:16: 3791448, Start, ''
2014-12-31 20:25:16: 3790048, Start, ''
2014-12-31 20:25:16: 3792069, Start, ''
2014-12-31 20:25:16: 3790041, Start, ''
2014-12-31 20:25:16: 3791585, Start, ''
2014-12-31 20:25:16: 3791579, Start, ''
2014-12-31 20:25:16: 3791681, Start, ''
2014-12-31 20:25:16: 3791682, Start, ''
2014-12-31 20:25:16: 3791466, Start, ''
2014-12-31 20:25:16: 3791532, Start, ''
2014-12-31 20:25:16: 3791990, Start, ''
2014-12-31 20:25:16: 3793167, Start, ''
2014-12-31 20:25:16: End of processing
